name,name_KR,head1C,head1M,head1Y,head2C,head2M,head2Y,head3C,head3M,head3Y,body1C,body1M,body1Y,body2C,body2M,body2Y,wing1C,wing1M,wing1Y,wing2C,wing2M,wing2Y,score,difficulty
1,모란앵무1,0,3,3,0,3,3,1,2,3,0,0,3,2,0,3,3,0,3,3,0,3,50,normal
2,모란앵무2,0,0,0,3,3,3,1,2,3,0,0,0,3,0,0,3,3,0,3,3,0,50,normal
3,모란앵무3,0,3,3,0,3,3,1,2,3,3,0,3,3,0,3,3,0,3,3,0,3,30,easy
4,세네갈 앵무,1,1,1,1,1,1,1,1,1,3,0,3,0,0,3,3,0,3,3,0,3,50,normal
5,퀘이커,2,2,2,3,2,2,1,3,3,2,2,2,2,2,2,3,2,2,3,2,2,70,hard
6,카이큐,0,0,3,3,3,3,3,3,3,0,0,0,0,0,3,3,0,3,3,0,3,50,normal
7,로리킷,3,3,0,3,0,3,0,3,3,0,3,3,3,3,0,3,0,3,3,0,3,70,hard
8,그린칙코뉴어,2,2,2,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,0,3,3,70,hard
9,썬코뉴어,0,0,3,0,3,3,3,3,3,0,0,3,0,3,3,3,0,3,3,0,3,50,normal
10,파인애플코뉴어,0,3,3,1,2,3,1,2,3,0,0,3,0,3,3,3,0,3,0,3,3,50,normal
11,골든코뉴어,0,0,3,0,0,3,1,2,3,0,0,3,0,0,3,0,0,3,3,0,3,30,easy
12,크림슨벨리드코뉴어,3,0,3,3,3,3,3,3,3,1,1,1,0,3,3,3,0,3,3,0,3,70,hard
13,블루코뉴어,3,1,1,3,3,3,3,3,3,1,1,1,2,1,1,3,1,1,3,1,1,70,hard
14,회색앵무,1,1,1,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,0,3,3,50,normal
15,뉴기니아(수컷),3,0,3,3,0,3,0,0,3,3,0,3,0,3,3,3,0,3,3,0,3,30,easy
16,뉴기니아(암컷),0,3,3,0,3,3,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,30,easy
17,청금강,0,0,0,3,0,3,3,3,3,0,0,3,0,0,3,3,0,0,3,0,0,50,normal
18,아마존앵무,3,0,3,0,0,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,3,30,easy
19,갈라코카투,0,2,0,0,1,0,1,2,3,0,2,0,0,2,0,2,2,2,2,2,2,50,normal
20,몰루칸코카투,0,1,0,0,1,0,3,3,3,0,1,0,0,1,0,0,1,0,0,1,0,70,hard
21,그레이트코카투,0,0,0,0,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,30,easy
22,팜코카투,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,70,hard
23,히아신스,0,0,3,3,3,0,3,3,3,3,3,0,3,3,0,3,3,0,3,3,0,30,easy
24,강강코카투,0,3,3,0,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,50,normal
